player_id,region,target_x,target_y
1,deuce wide,5.0029,3.9772
1,deuce tee,6.3037,0.3348
1,ad tee,6.2909,-0.0224
1,ad wide,5.711,-3.4483
2,deuce wide,5.0693,3.508
2,deuce tee,6.06,0.129
2,ad tee,6.1163,-0.2009
2,ad wide,4.4893,-3.7107
3,deuce wide,5.3172,3.8685
3,deuce tee,6.06,0.129
3,ad tee,6.1163,-0.2009
3,ad wide,4.7527,-3.8713
4,deuce wide,4.6986,3.6789
4,deuce tee,6.06,0.129
4,ad tee,6.1163,-0.2009
4,ad wide,4.4627,-3.9434
5,deuce wide,4.9587,3.9565
5,deuce tee,6.2389,0.0534
5,ad tee,5.9384,-0.1428
5,ad wide,5.5565,-3.9165
6,deuce wide,5.6685,3.8893
6,deuce tee,5.9437,0.0544
6,ad tee,5.9384,-0.1428
6,ad wide,5.5565,-3.9165
7,deuce wide,5.6858,3.9284
7,deuce tee,6.1217,0.1956
7,ad tee,6.1989,-0.1522
7,ad wide,5.8599,-3.7493
8,deuce wide,5.7225,3.5757
8,deuce tee,5.8556,0.2362
8,ad tee,5.9765,-0.0259
8,ad wide,5.4102,-3.6836
